id,major
1,가정교육과
2,간호학과
3,건강관리학과
4,건설공학교육과
5,건축공학과
6,건축학과
7,게임공학과
8,경영정보학과
9,경영학과
10,경제학과
11,경찰행정학과
12,경호학과
13,고고학과
14,고분자공학과
15,공업디자인학과
16,공업화학과
17,공예디자인학과
18,공예학과
19,과학교육과
20,관광경영학과
21,관현악과
22,광고디자인학과
23,광고홍보학과
24,광학공학과
25,교양경상학부
26,교양공학부
27,교양사회과학부
28,교양생활과학부
29,교양인문학부
30,교양자연과학부
31,교육공학과
32,교육학과
33,교통공학과
34,국방기술학과
35,국악학과
36,국어교육과
37,국어국문학과
38,국제관계학과
39,국제문화정보학과
40,국제법무학과
41,국제지역학과
42,국제통상학과
43,국제학부
44,군사학과
45,금속공예학과
46,금속공학과
47,금융보험학과
48,기계ㆍ재료공학교육과
49,기계공학과
50,기계설계공학과
51,기독교학과
52,기술교육과
53,기악과
54,기타아시아어학과
55,기타유럽어학과
56,나노공학과
57,냉동공조공학과
58,노인복지학과
59,농공학과
60,농업경제학과
61,농업교육과
62,대기과학과
63,도시계획학과
64,도시공학과
65,도자기공예학과
66,독어독문학과
67,독일어교육과
68,독일학과
69,동물자원학과
70,동양화과
71,디자인학과
72,디지털디자인학과
73,디지털콘텐츠학과
74,러시아어문학과
75,러시아학과
76,레저스포츠학과
77,로봇공학과
78,만화애니메이션학과
79,말특수동물학과
80,멀티미디어학과
81,메카트로닉스공학과
82,모바일시스템공학과
83,목조형가구학과
84,무도학과
85,무역학과
86,무용학과
87,무인항공학과
88,문예창작학과
89,문헌정보학과
90,문화인류학과
91,문화재보존학과
92,문화콘텐츠학과
93,물류시스템공학과
94,물류학과
95,물리교육과
96,물리치료학과
97,물리학과
98,미국학과
99,미디어영상학과
100,미디어학과
101,미생물학과
102,미술교육과
103,미술학과
104,반도체학과
105,방사선학과
106,법학과
107,벤처창업학과
108,보건관리학과
109,보건행정학과
110,부동산학과
111,북한학과
112,불교학과
113,불어교육과
114,불어불문학과
115,뷰티미용학과
116,비서행정학과
117,사이버국방학과
118,사진영상학과
119,사학과
120,사회교육과
121,사회복지학과
122,사회체육학과
123,사회학과
124,산림자원학과
125,산업경영학과
126,산업공학과
127,산업디자인학과
128,생명공학과
129,생명과학과
130,생물교육과
131,생물산업기계공학과
132,생물학과
133,생화학과
134,서양화과
135,선교학과
136,섬유공학과
137,섬유디자인학과
138,성악과
139,세라믹공학과
140,세무학과
141,세무회계학과
142,소방방재학과
143,소프트웨어공학과
144,수산학과
145,수의학과
146,수학과
147,수학교육과
148,수해양산업교육과
149,스토리텔링학과
150,스페인어학과
151,스포츠건강관리학과
152,스포츠마케팅학과
153,스포츠지도학과
154,시각디자인학과
155,시스템경영공학과
156,시스템공학과
157,식량자원학과
158,식물자원학과
159,식품공학과
160,식품영양학과
161,식품자원경제학과
162,신문방송학과
163,신소재공학과
164,신학과
165,실내디자인학과
166,실용음악학과
167,심리학과
168,아동가족학과
169,아동복지학과
170,아동학과
171,아프리카어과
172,안전공학과
173,약학부
174,언론홍보학과
175,언어과학과
176,언어치료학과
177,에너지자원공학과
178,역사교육과
179,연극영화학과
180,영어교육과
181,영어영문학과
182,영어학과
183,예술치료학과
184,예술학과
185,외국어학과
186,외식산업학과
187,우주과학과
188,원예학과
189,원자력공학과
190,유아교육학과
191,유전공학과
192,유통학과
193,윤리교육과
194,윤리학과
195,음악교육과
196,음악학과
197,응급구조학과
198,응용미술학과
199,응용소프트웨어공학과
200,의료경영학과
201,의료정보공학과
202,의류ㆍ의상학과
203,의예과
204,의용공학과
205,인터넷정보학과
206,일반사회교육과
207,일본학과
208,일어교육과
209,일어일문학과
210,임산공학과
211,임상병리학과
212,자동차공학과
213,자율전공학부
214,작곡과
215,작업치료학과
216,재료공학과
217,재활학과
218,전기ㆍ전자ㆍ통신공학교육과
219,전기공학과
220,전기전자공학과
221,전기제어공학과
222,전자공학과
223,정밀화학과
224,정보보호학과
225,정보통신공학과
226,정치외교학과
227,제약공학과
228,제어계측공학과
229,제지공학과
230,조경학과
231,조리과학과
232,조선공학과
233,조소학과
234,조형디자인학과
235,종교교육과
236,종교학과
237,중국학과
238,중어중문학과
239,지구과학교육과
240,지구정보공학과
241,지구해양과학과
242,지구환경과학과
243,지리교육과
244,지리학과
245,지역개발학과
246,지적학과
247,지질학과
248,천문학과
249,철학과
250,청소년지도학과
251,체육교육과
252,체육학과
253,초등교육과
254,축산학과
255,치기공학과
256,치위생학과
257,치의예과
258,커뮤니케이션디자인학과
259,컴퓨터공학과
260,컴퓨터과학과
261,컴퓨터교육과
262,컴퓨터디자인학과
263,토목공학과
264,통계학과
265,통번역학과
266,특수교육학과
267,특수체육교육과
268,패션디자인학과
269,프랑스학과
270,피아노학과
271,한국어학과
272,한문교육과
273,한문학과
274,한약자원학과
275,한약학과
276,한의예과
277,항공서비스학과
278,항공우주공학과
279,항공운항학과
280,항해학과
281,해양경찰학과
282,해양공학과
283,해양생명과학과
284,해양스포츠학과
285,해양시스템학과
286,해양자원학과
287,행정학과
288,호텔경영학과
289,화장품과학과
290,화학공학과
291,화학공학교육과
292,화학과
293,화학교육과
294,환경공학과
295,환경과학과
296,환경교육과
297,환경디자인학과
298,환경보건학과
299,환경조각학과
300,환경화학과
301,회계학과
302,회화학과
303,e-비즈니스학과
304,IT융합학과
