id,school
1,ICT폴리텍대학
2,KDB금융대학교
3,LH토지주택대학교
4,SPC식품과학대학
5,가야대학교
6,가천대학교
7,가톨릭관동대학교
8,가톨릭대학교
9,가톨릭상지대학교
10,감리교신학대학교
11,강남대학교
12,강동대학교
13,강릉영동대학교
14,강릉원주대학교
15,강원관광대학교
16,강원대학교
17,강원도립대학교
18,거제대학교
19,건국대학교
20,건양대학교
21,건양사이버대학교
22,경기과학기술대학교
23,경기대학교
24,경남과학기술대학교
25,경남대학교
26,경남도립거창대학
27,경남도립남해대학
28,경남정보대학교
29,경동대학교
30,경민대학교
31,경복대학교
32,경북과학대학교
33,경북대학교
34,경북도립대학교
35,경북보건대학교
36,경북전문대학교
37,경상국립대학교
38,경성대학교
39,경운대학교
40,경인교육대학교
41,경인여자대학교
42,경일대학교
43,경주대학교
44,경희대학교
45,경희사이버대학교
46,계명대학교
47,계명문화대학교
48,계원예술대학교
49,고구려대학교
50,고려대학교
51,고려대학교 세종캠퍼스
52,고려사이버대학교
53,고신대학교
54,공주교육대학교
55,공주대학교
56,광신대학교
57,광양보건대학교
58,광운대학교
59,광주가톨릭대학교
60,광주과학기술원
61,광주교육대학교
62,광주대학교
63,광주보건대학교
64,광주여자대학교
65,구미대학교
66,국민대학교
67,국제대학교
68,국제사이버대학교
69,국제예술대학교
70,군산간호대학교
71,군산대학교
72,군장대학교
73,극동대학교
74,글로벌사이버대학교
75,금강대학교
76,금오공과대학교
77,기독간호대학교
78,김천대학교
79,김포대학교
80,김해대학교
81,꽃동네대학교
82,나사렛대학교
83,남부대학교
84,남서울대학교
85,농협대학교
86,단국대학교
87,대경대학교
88,대구가톨릭대학교
89,대구경북과학기술원
90,대구공업대학교
91,대구과학대학교
92,대구교육대학교
93,대구대학교
94,대구보건대학교
95,대구사이버대학교
96,대구예술대학교
97,대구한의대학교
98,대덕대학교
99,대동대학교
100,대림대학교
101,대신대학교
102,대우조선해양공과대학
103,대원대학교
104,대전가톨릭대학교
105,대전과학기술대학교
106,대전대학교
107,대전보건대학교
108,대전신학대학교
109,대진대학교
110,덕성여자대학교
111,동강대학교
112,동국대학교
113,동남보건대학교
114,동덕여자대학교
115,동명대학교
116,동서대학교
117,동서울대학교
118,동신대학교
119,동아대학교
120,동아방송예술대학교
121,동아보건대학교
122,동양대학교
123,동양미래대학교
124,동원과학기술대학교
125,동원대학교
126,동의과학대학교
127,동의대학교
128,동주대학교
129,두원공과대학교
130,디지털서울문화예술대학교
131,루터대학교
132,마산대학교
133,명지대학교 인문캠퍼스
134,명지대학교 자연캠퍼스
135,명지전문대학
136,목원대학교
137,목포가톨릭대학교
138,목포과학대학교
139,목포대학교
140,목포해양대학교
141,문경대학교
142,배재대학교
143,배화여자대학교
144,백석대학교
145,백석문화대학교
146,백석예술대학교
147,백제예술대학교
148,부경대학교
149,부산가톨릭대학교
150,부산경상대학교
151,부산과학기술대학교
152,부산교육대학교
153,부산대학교
154,부산디지털대학교
155,부산여자대학교
156,부산예술대학교
157,부산외국어대학교
158,부산장신대학교
159,부천대학교
160,사이버한국외국어대학교
161,삼성전자공과대학교
162,삼성중공업공과대학
163,삼육대학교
164,삼육보건대학교
165,상명대학교
166,상지대학교
167,상지영서대학교
168,서강대학교
169,서경대학교
170,서라벌대학교
171,서영대학교
172,서울과학기술대학교
173,서울교육대학교
174,서울기독대학교
175,서울대학교
176,서울디지털대학교
177,서울문화예술대학교
178,서울사이버대학교
179,서울시립대학교
180,서울신학대학교
181,서울여자간호대학교
182,서울여자대학교
183,서울예술대학교
184,서울장신대학교
185,서울한영대학교
186,서원대학교
187,서일대학교
188,서정대학교
189,서해대학
190,선린대학교
191,선문대학교
192,성결대학교
193,성공회대학교
194,성균관대학교
195,성신여자대학교
196,성운대학교
197,세경대학교
198,세계사이버대학
199,세명대학교
200,세종대학교
201,세종사이버대학교
202,세한대학교
203,송곡대학교
204,송원대학교
205,송호대학교
206,수성대학교
207,수원가톨릭대학교
208,수원과학대학교
209,수원대학교
210,수원여자대학교
211,숙명여자대학교
212,순복음총회신학교
213,순천대학교
214,순천제일대학교
215,순천향대학교
216,숭실대학교
217,숭실사이버대학교
218,숭의여자대학교
219,신경대학교
220,신구대학교
221,신라대학교
222,신성대학교
223,신안산대학교
224,신한대학교
225,아세아연합신학대학교
226,아주대학교
227,아주자동차대학
228,안동과학대학교
229,안동대학교
230,안산대학교
231,안양대학교
232,여주대학교
233,연성대학교
234,연세대학교
235,연세대학교 미래캠퍼스
236,연암공과대학교
237,연암대학교
238,영남대학교
239,영남사이버대학교
240,영남신학대학교
241,영남외국어대학
242,영남이공대학교
243,영산대학교
244,영산선학대학교
245,영진사이버대학교
246,영진전문대학교
247,예수대학교
248,예원예술대학교
249,오산대학교
250,용인대학교
251,용인송담대학교
252,우석대학교
253,우송대학교(본교)
254,우송정보대학
255,울산과학기술원
256,울산과학대학교
257,울산대학교
258,웅지세무대학교
259,원광대학교
260,원광디지털대학교
261,원광보건대학교
262,위덕대학교
263,유원대학교
264,유한대학교
265,을지대학교
266,이화여자대학교
267,인덕대학교
268,인제대학교
269,인천가톨릭대학교
270,인천대학교
271,인천재능대학교
272,인하공업전문대학
273,인하대학교
274,장로회신학대학교
275,장안대학교
276,전남과학대학교
277,전남대학교
278,전남도립대학교
279,전북과학대학교
280,전북대학교
281,전주교육대학교
282,전주기전대학
283,전주대학교
284,전주비전대학교
285,정석대학
286,정화예술대학교
287,제주관광대학교
288,제주국제대학교
289,제주대학교
290,제주한라대학교
291,조선간호대학교
292,조선대학교
293,조선이공대학교
294,중부대학교
295,중앙대학교 서울캠퍼스
296,중앙대학교 안성캠퍼스
297,중앙승가대학교
298,중원대학교
299,진주교육대학교
300,진주보건대학교
301,차의과학대학교
302,창신대학교
303,창원대학교
304,창원문성대학교
305,청강문화산업대학교
306,청암대학교
307,청운대학교
308,청주교육대학교
309,청주대학교
310,초당대학교
311,총신대학교
312,추계예술대학교
313,춘천교육대학교
314,춘해보건대학교
315,충남대학교
316,충남도립대학교
317,충북대학교
318,충북도립대학교
319,충북보건과학대학교
320,충청대학교
321,침례신학대학교
322,칼빈대학교
323,케이씨대학교
324,평택대학교
325,포스코기술대학
326,포항공과대학교
327,포항대학교
328,한경대학교
329,한국골프대학교
330,한국과학기술원
331,한국관광대학교
332,한국교원대학교
333,한국교통대학교
334,한국국제대학교
335,한국기술교육대학교
336,한국농수산대학
337,한국방송통신대학교
338,한국복지대학교
339,한국복지사이버대학
340,한국산업기술대학교
341,한국성서대학교
342,한국승강기대학교
343,한국어대학교
344,한국열린사이버대학교
345,한국영상대학교
346,한국예술종합학교
347,한국외국어대학교
348,한국전통문화대학교
349,한국체육대학교
350,한국폴리텍 I 대학 성남캠퍼스
351,한국폴리텍 I 대학 제주캠퍼스
352,한국폴리텍 II 대학 남인천캠퍼스
353,한국폴리텍 II 대학 화성캠퍼스
354,한국폴리텍 III 대학 강릉캠퍼스
355,한국폴리텍 III 대학 원주캠퍼스
356,한국폴리텍 III 대학 춘천캠퍼스
357,한국폴리텍 IV 대학 대전캠퍼스
358,한국폴리텍 IV 대학 아산캠퍼스
359,한국폴리텍 IV 대학 홍성캠퍼스
360,한국폴리텍 V 대학 김제캠퍼스
361,한국폴리텍 V 대학 순천캠퍼스
362,한국폴리텍 V 대학 전북캠퍼스
363,한국폴리텍 Ⅵ 대학 영주캠퍼스
364,한국폴리텍 VII 대학 울산캠퍼스
365,한국폴리텍IV 대학 청주캠퍼스
366,한국폴리텍VII대학
367,한국폴리텍Ⅶ대학 부산캠퍼스
368,한국폴리텍V대학 광주캠퍼스
